Date,Open,High,Low,Close
05/04 10:08,2214.05,2215.05,2213.35,2215
05/04 10:07,2214.3,2215.7,2214.05,2215.05
05/04 10:06,2215.25,2215.9,2212.85,2214.3
05/04 10:05,2216.85,2217.15,2214.4,2215.25
05/04 10:04,2217.15,2217.5,2215.85,2216.85
05/04 10:03,2215.25,2217.15,2214.2,2217.05
05/04 10:02,2217.3,2217.3,2213.7,2214.45
05/04 10:01,2217.05,2217.3,2215.95,2217.3
05/04 10:00,2219.35,2219.95,2216.2,2217.05
05/04 9:59,2220.95,2220.95,2219.25,2219.35
05/04 9:58,2220.95,2221.45,2219.05,2220.95
05/04 9:57,2220.95,2221.45,2220,2220.95
05/04 9:56,2222.95,2223.6,2220.25,2220.95
05/04 9:55,2225.25,2226.05,2222.75,2222.95
05/04 9:54,2228.9,2229.95,2223.8,2223.8
05/04 9:53,2229,2229.5,2225.7,2228.9
05/04 9:52,2231.9,2233.25,2227.15,2229
05/04 9:51,2231.4,2232.85,2230.65,2231.9
05/04 9:50,2229.05,2230.9,2228.2,2230.4
05/04 9:49,2224.65,2229.05,2223.35,2229.05
05/04 9:48,2221.15,2224.75,2221.15,2224.65
